ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OI_Daily_Change,IV_Daily_Change
30-Jun-2026,Put,12000,4.333333333333333,0.0,20.05,0.0,0.0,0.0
29-Dec-2026,Put,12000,6.666666666666667,0.0,20.05,0.0,0.0,0.0
30-Dec-2025,Put,13000,247.66666666666663,5.0,5.35,49.52,5.0,0.0
30-Jun-2026,Put,13000,2.6666666666666665,0.0,21.6,0.0,0.0,0.0
29-Dec-2026,Put,13000,27.0,0.0,20.3,0.0,0.0,0.0
30-Jun-2026,Put,14000,20.333333333333332,0.0,20.05,0.0,0.0,0.0
29-Dec-2026,Put,14000,29.666666666666668,0.0,29.6,0.0,0.0,0.0
30-Dec-2025,Put,15000,120.33333333333331,2.0,8.9,42.04,2.0,0.0
30-Jun-2026,Put,15000,16.333333333333332,3.0,20.05,29.65,3.0,0.0
29-Dec-2026,Put,15000,19.666666666666668,0.0,20.55,0.0,0.0,0.0
28-Dec-2027,Put,15000,8.333333333333334,0.0,3.05,0.0,0.0,0.0
30-Dec-2025,Call,16000,4.666666666666667,0.0,9565.0,0.0,0.0,0.0
30-Dec-2025,Put,16000,170.33333333333334,5.0,10.8,38.25,5.0,0.0
30-Jun-2026,Put,16000,30.333333333333332,0.0,21.0,0.0,0.0,0.0
29-Dec-2026,Put,16000,32.333333333333336,0.0,23.3,0.0,0.0,0.0
30-Dec-2025,Put,16500,52.0,0.0,7.7,0.0,0.0,0.0
30-Sep-2025,Call,17000,2089.0,-5.0,7925.4,0.0,-5.0,0.0
30-Sep-2025,Put,17000,4125.0,1474.0,0.55,103.86,1474.0,0.0
30-Dec-2025,Call,17000,15.333333333333334,1.0,8398.95,42.58,1.0,0.0
30-Dec-2025,Put,17000,501.6666666666667,-1.0,10.0,33.43,-1.0,0.0
29-Dec-2026,Put,17000,38.0,0.0,97.05,0.0,0.0,0.0
28-Dec-2027,Put,17000,189.33333333333337,0.0,94.05,0.0,0.0,0.0
30-Sep-2025,Call,18000,135.0,-37.0,6978.0,151.59,-37.0,0.0
30-Sep-2025,Put,18000,801.0,-102.0,0.55,89.31,-102.0,0.0
30-Dec-2025,Call,18000,819.3333333333334,23.0,7233.95,0.0,23.0,0.0
30-Dec-2025,Put,18000,2101.6666666666665,-6.0,12.2,29.94,-6.0,0.0
29-Dec-2026,Put,18000,79.33333333333333,0.0,132.0,0.0,0.0,0.0
29-Jun-2027,Put,18000,1.3333333333333333,0.0,93.95,0.0,0.0,0.0
28-Dec-2027,Put,18000,155.0,0.0,150.0,0.0,0.0,0.0
26-Dec-2028,Put,18000,1.0,0.0,250.0,0.0,0.0,0.0
30-Sep-2025,Call,19000,39.0,0.0,6000.05,139.07,0.0,0.0
30-Sep-2025,Put,19000,1673.0,-128.0,0.6,75.99,-128.0,0.0
30-Dec-2025,Call,19000,140.66666666666666,0.0,6271.2,0.0,0.0,0.0
30-Dec-2025,Put,19000,4843.0,-31.0,15.75,26.72,-31.0,0.0
31-Mar-2026,Put,19000,0.0,0.0,0.0,0.0,0.0,0.0
30-Jun-2026,Put,19000,3.3333333333333335,0.0,205.7,0.0,0.0,0.0
